ID	TITLE	URL	PUBLISHER	CATEGORY	STORY	HOSTNAME	TIMESTAMP
185602	India Morning Call-Global Markets	http://www.reuters.com/article/2014/05/07/morningcall-india-idUSL3N0NT0Q620140507	Reuters	b	db41edi0ZReNZgMnJtdQmLGtdQWSM	www.reuters.com	1399442000130
237235	Fox's 'I Wanna Marry Harry', A Royal Fake Wants A Date, But Is This The Lowest  ...	http://www.contactmusic.com/in-depth/foxs-i-wanna-marry-harry-reality-dating-show-premieres_4207007	Contactmusic.com	e	deRMgWCwFC4l-RMwxmNK9TEkDcKQM	www.contactmusic.com	1400769187971
231128	Yen Strengthens as US Yields Fall Before BOJ Policy Statement	http://www.businessweek.com/news/2014-05-19/euro-near-three-month-low-versus-yen-before-ecb-officials-speak	Businessweek	b	dw51LrENjurxxbMmPZWWFfB10FOrM	www.businessweek.com	1400687323121
188942	AOL profit misses estimate on costs; shares tumble	http://www.reuters.com/article/2014/05/07/us-aol-results-idUSBREA460DI20140507	Reuters	b	dDDMVzdUvh2NLMMtU_wiUQSQZJAxM	www.reuters.com	1399500685071
122025	NASCAR Team Owner Spends $1 Million On New Corvette	http://www.huffingtonpost.com/2014/04/14/million-dollar-corvette-rick-hendrick_n_5148460.html	Huffington Post	t	debJKmKdGN4yjYMeP8vwccRHOaMSM	www.huffingtonpost.com	1397648197005
364180	Spanish Bright Spot Shot as Gowex to File for Insolvency, CEO Quits on Fake  ...	http://www.businessweek.com/news/2014-07-06/gowex-to-file-for-insolvency-as-ceo-resigns-after-gotham-report	Businessweek	b	dgxI458V17j-QPMGaK7Xfap21ePgM	www.businessweek.com	1404751697003
189159	'Pinocchio Rex' Dinosaur Unearthed In China Confirms Theory About  ...	http://www.huffingtonpost.com/2014/05/07/pinocchio-rex-dinosaur-china-tyrannosaurs_n_5279681.html\?ir=Science	Huffington Post	t	drp0_g01Sim5WoMbQMsEbwJMMXNXM	www.huffingtonpost.com	1399502052373
287609	Lea Michele's Alleged New Love Interest May Have Been (Gasp!) A Male Escort	http://www.contactmusic.com/article/lea-michele-new-relationship-matthew-paetz-male-escort_4241295	Contactmusic.com	e	dMA_YpncbYlj9aMRo6nyYiSxw-uWM	www.contactmusic.com	1402812772882
197481	A Company You've Never Heard Of Might Have A Bigger IPO Than Facebook	http://www.huffingtonpost.com/2014/05/06/alibaba-ipo_n_5276096.html	Huffington Post	t	dKppHJH3n92PnuM8aNn1w2dPkylJM	www.huffingtonpost.com	1399629815243
413860	CORRECTED-Iceland's Met Office lowers risk level for Bardarbunga volcano	http://in.reuters.com/article/2014/08/24/iceland-volcano-orange-idINL5N0QS2H720140824	Reuters	t	dhlff9xkBpb_lnMY5vxBH92JB7JdM	in.reuters.com	1409006498377
294488	Corn Trades Near 4-Month Low as Crop Conditions Improve	http://www.businessweek.com/news/2014-06-16/corn-trades-near-four-month-low-as-u-dot-s-dot-crop-conditions-improve	Businessweek	b	dX9buH_sQI4Jp2MXe6LAFqGHgmS4M	www.businessweek.com	1403004339016
46603	Consumer advocates seek to raise California cap on medical malpractice awards	http://in.reuters.com/article/2014/03/24/usa-california-malpractice-idINL1N0ML17F20140324	Reuters	m	dOxKw7RfNfwrjuMcv8I-tLHFEe8BM	in.reuters.com	1395835360494
270141	"Miranda Lambert, ""Platinum"" (RCA Nashville)"	http://www.huffingtonpost.com/huff-wires/20140603/us-music-review-miranda-lambert/\?utm_hp_ref=style&amp;ir=style	Huffington Post	e	d-CakaQArhG3YiMCqFzI6MCrHd2dM	www.huffingtonpost.com	1401825782429
157772	Bachelorette contestant Eric Hill in a coma after paragliding accident in Utah	http://www.dailymail.co.uk/news/article-2610900/Bachelorette-contestant-left-comatose-critical-condition-paragliding-accident.html	Daily Mail	e	dlJ3SJiMMmfj8zMOnrmVM6O-U3rbM	www.dailymail.co.uk	1398345193865
356416	West Africa to Step Up Efforts to Combat Ebola Outbreak	http://www.businessweek.com/news/2014-07-03/west-africa-to-step-up-efforts-to-combat-ebola-outbreak	Businessweek	m	dvOcpD5z3AbEILM5BvWuUTQWdovKM	www.businessweek.com	1404475048645
35917	Scientists believe DNA could be used to determine how our ancestors might  ...	http://www.dailymail.co.uk/news/article-2587349/Could-DNA-evidence-one-day-used-help-create-3D-models-criminals-faces.html	Daily Mail	t	dpoF-xvby5M3K-MmMD10gqownilQM	www.dailymail.co.uk	1395622643668
91059	Equal Pay Means Exactly That	http://www.huffingtonpost.com/rep-mike-honda/equal-pay-means-exactly-t_b_5112599.html	Huffington Post	b	djvXFLQrPaxEqhMjssadUve7j0x3M	www.huffingtonpost.com	1396986113423
348602	Japan's Topix Posts Highest Close in 5 Months on Tankan	http://www.businessweek.com/news/2014-06-30/japans-topix-advances-after-best-month-since-november	Businessweek	b	dIFQcuJB0Xszy1MFYrXMHxOUoTs8M	www.businessweek.com	1404374924442
276628	Fitch Affirms Landesbank Saar at 'A'; Outlook Negative	http://in.reuters.com/article/2014/06/12/fitch-affirms-landesbank-saar-at-a-outlo-idINFit70456020140612	Reuters	b	dAZC0aRMk1ONyvMUjTyEB_iZmrZLM	in.reuters.com	1402653995504
404017	Megan Fox dazzles as she shows off toned body in bejewelled mini-dress at  ...	http://www.dailymail.co.uk/tvshowbiz/article-2710486/Megan-Fox-attends-Teenage-Mutant-Ninja-Turtles-premiere-Mexico.html	Daily Mail	e	dIdt3uYPvGXHMfMGjNKpBt2d9A8sM	www.dailymail.co.uk	1406799828429
237326	Special Report : Saudi Arabia takes heat for spread of MERS virus	http://www.reuters.com/article/2014/05/22/us-saudi-mers-specialreport-idUSBREA4L03D20140522	Reuters	m	d9tEWf607jPHB5MrcbBjOwkXd7dMM	www.reuters.com	1400769874137
115358	This 'Mad Men' Makeup Tutorial Will Keep You Rooting For Megan Draper	http://www.huffingtonpost.com/2014/04/14/mad-men-makeup-tutorial-megan-draper_n_5127418.html	Huffington Post	e	dNuRntIycre1woM9qIuNHdWmaw27M	www.huffingtonpost.com	1397522314209
